"","SOURCE_IP","EXPORT_TIME","INTERFACE_ID","DESTINATION_IP","SOURCE_PORT","DESTINATION_PORT","PROTOCOL","REQUEST_TIME","LOG_ACTION","Reliability","Risk","Type","Country","Locale","Coords","x","simpletype"
"1","103.210.135.136","2018-03-19","eni-4f4c1684","10.80.11.15",45480,2222,6,"2018-02-24","REJECT",4,2,"Malicious Host","IN","Bangalore","12.983300209,77.5832977295","3","Malicious Host"
"2","103.89.89.192","2018-03-19","eni-746177b9","10.80.9.242",59161,22,6,"2018-02-24","REJECT",4,3,"Malicious Host","VN","Hanoi","21.0333003998,105.849998474","3","Malicious Host"
"3","106.187.45.144","2018-03-19","eni-f46d752b","10.80.7.127",58676,8888,6,"2018-02-24","REJECT",4,2,"Malicious Host","JP","","35.6899986267,139.690002441","3","Malicious Host"
"4","107.170.252.100","2018-03-19","eni-938edf92","10.80.2.26",54801,23,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","San Francisco","37.7312011719,-122.382598877","3","Malicious Host"
"5","107.170.252.100","2018-03-19","eni-e001f15b","10.80.2.149",55033,23,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","San Francisco","37.7312011719,-122.382598877","3","Malicious Host"
"6","107.182.16.112","2018-03-19","eni-9db8fb9d","10.80.1.208",56558,19,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Wilkes Barre","41.2028999329,-75.9027023315","3","Malicious Host"
"7","107.182.16.112","2018-03-19","eni-494f5de4","10.80.11.216",56558,19,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Wilkes Barre","41.2028999329,-75.9027023315","3","Malicious Host"
"8","107.182.16.112","2018-03-19","eni-28fb6c93","10.83.1.30",56558,19,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Wilkes Barre","41.2028999329,-75.9027023315","3","Malicious Host"
"9","107.182.16.112","2018-03-19","eni-e0a7ef5b","10.83.0.184",56558,19,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Wilkes Barre","41.2028999329,-75.9027023315","3","Malicious Host"
"10","107.182.16.112","2018-03-19","eni-c45cbc7f","10.80.2.202",56558,19,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Wilkes Barre","41.2028999329,-75.9027023315","3","Malicious Host"
"11","107.182.16.112","2018-03-19","eni-821d206a","10.83.1.13",56558,19,17,"2018-02-24","ACCEPT",4,2,"Malicious Host","US","Wilkes Barre","41.2028999329,-75.9027023315","3","Malicious Host"
"12","107.182.16.112","2018-03-19","eni-746177b9","10.80.9.242",56558,19,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Wilkes Barre","41.2028999329,-75.9027023315","3","Malicious Host"
"13","107.6.171.130","2018-03-19","eni-d9305775","10.80.11.80",46952,45254,6,"2018-02-24","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.2797012329,4.75509977341","3","Malicious Host"
"14","108.178.61.58","2018-03-19","eni-f534ea00","10.80.10.223",56200,53731,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Chicago","41.8824996948,-87.6440963745","3","Malicious Host"
"15","110.135.110.4","2018-03-19","eni-69242a68","10.83.2.79",28621,2323,6,"2018-02-24","REJECT",4,2,"Malicious Host","JP","Koto","35.6599998474,139.80670166","3","Malicious Host"
"16","110.186.73.233","2018-03-19","eni-75e558b2","10.80.6.54",57524,1433,6,"2018-02-24","REJECT",4,2,"Malicious Host","CN","Chengdu","30.6667003632,104.066703796","3","Malicious Host"
"17","110.37.230.98","2018-03-19","eni-bd3d2377","10.83.10.96",53799,1433,6,"2018-02-24","REJECT",4,3,"Malicious Host","PK","Karachi","24.9055995941,67.0821990967","3","Malicious Host"
"18","110.90.99.57","2018-03-19","eni-3387459c","10.80.8.218",44876,1433,6,"2018-02-24","REJECT",1,2,"Malicious Host","CN","Fuzhou","26.0613994598,119.306098938","3","Malicious Host"
"19","111.206.169.157","2018-03-19","eni-dd7ab728","10.83.11.120",44383,11223,6,"2018-02-24","REJECT",4,2,"Malicious Host","CN","Beijing","39.9289016724,116.388298035","3","Malicious Host"
"20","111.73.45.178","2018-03-19","eni-d9305775","10.80.11.80",6000,3306,6,"2018-02-24","REJECT",4,2,"Malicious Host","CN","Nanchang","28.5499992371,115.933296204","3","Malicious Host"
"21","111.73.46.34","2018-03-19","eni-17281bda","10.83.8.12",6000,1433,6,"2018-02-24","REJECT",4,2,"Malicious Host","CN","Nanchang","28.5499992371,115.933296204","3","Malicious Host"
"22","111.93.233.86","2018-03-19","eni-f534ea00","10.80.10.223",40671,1433,6,"2018-02-24","REJECT",4,2,"Malicious Host","IN","Delhi","28.6667003632,77.2166976929","3","Malicious Host"
"23","112.217.150.112","2018-03-19","eni-f23e6202","10.80.9.246",2727,22,6,"2018-02-24","ACCEPT",4,3,"Malicious Host","KR","","37.5111999512,126.974098206","3","Malicious Host"
"24","112.217.150.112","2018-03-19","eni-00eab5bb","10.83.2.133",2727,22,6,"2018-02-24","REJECT",4,3,"Malicious Host","KR","","37.5111999512,126.974098206","3","Malicious Host"
"25","112.217.150.112","2018-03-19","eni-494f5de4","10.80.11.216",2727,22,6,"2018-02-24","REJECT",4,3,"Malicious Host","KR","","37.5111999512,126.974098206","3","Malicious Host"
"26","112.217.150.112","2018-03-19","eni-28fb6c93","10.83.1.30",2727,22,6,"2018-02-24","REJECT",4,3,"Malicious Host","KR","","37.5111999512,126.974098206","3","Malicious Host"
"27","112.217.150.112","2018-03-19","eni-c45cbc7f","10.80.2.202",2727,22,6,"2018-02-24","REJECT",4,3,"Malicious Host","KR","","37.5111999512,126.974098206","3","Malicious Host"
"28","112.217.150.112","2018-03-19","eni-746177b9","10.80.9.242",2727,22,6,"2018-02-24","REJECT",4,3,"Malicious Host","KR","","37.5111999512,126.974098206","3","Malicious Host"
"29","112.72.137.237","2018-03-19","eni-28fb6c93","10.83.1.30",29715,23,6,"2018-02-24","REJECT",4,3,"Malicious Host","KR","Busan","35.1027984619,129.040298462","3","Malicious Host"
"30","112.72.141.100","2018-03-19","eni-d9305775","10.80.11.80",4274,23,6,"2018-02-24","REJECT",4,3,"Malicious Host","KR","Busan","35.1027984619,129.040298462","3","Malicious Host"
"31","114.251.126.200","2018-03-19","eni-f46d752b","10.80.7.127",51272,1433,6,"2018-02-24","REJECT",4,2,"Malicious Host","CN","Beijing","39.9289016724,116.388298035","3","Malicious Host"
