"","DESTINATION_IP","EXPORT_TIME","INTERFACE_ID","SOURCE_IP","SOURCE_PORT","DESTINATION_PORT","PROTOCOL","REQUEST_TIME","LOG_ACTION","Reliability","Risk","Type","Country","Locale","Coords","x","simpletype"
"1","121.18.238.39","2018-03-19","eni-f28fe32d","10.83.7.191",22,50226,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","CN","Hebei","39.8897018433,115.275001526","3","Malicious Host"
"2","159.89.47.170","2018-03-19","eni-f28fe32d","10.83.7.191",22,39172,6,"2018-02-24","ACCEPT",4,3,"Malicious Host","US","Clifton","40.8325996399,-74.1306991577","3","Malicious Host"
"3","182.100.67.118","2018-03-19","eni-f28fe32d","10.83.7.191",22,45021,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","CN","Shanghai","31.0456008911,121.39969635","3","Malicious Host"
"4","221.194.47.243","2018-03-19","eni-3387459c","10.80.8.218",22,60841,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","CN","Hebei","39.8897018433,115.275001526","3","Malicious Host"
"5","222.186.50.75","2018-03-19","eni-00eab5bb","10.83.2.133",80,6000,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","CN","Nanjing","32.0616989136,118.777801514","3","Malicious Host"
"6","38.122.227.170","2018-03-19","eni-28fb6c93","10.83.1.30",443,10978,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","US","New York","40.7552986145,-73.992401123","3","Malicious Host"
"7","38.140.143.226","2018-03-19","eni-4f4c1684","10.80.11.15",443,53208,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","US","Pompano Beach","26.3031005859,-80.2701034546","3","Malicious Host"
"8","38.140.143.226","2018-03-19","eni-4f4c1684","10.80.11.15",443,10978,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","US","Pompano Beach","26.3031005859,-80.2701034546","3","Malicious Host"
"9","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,33758,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"10","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,48078,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"11","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,43971,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"12","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,56084,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"13","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,45691,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"14","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,40175,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"15","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,57428,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"16","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,58930,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"17","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,48447,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"18","5.101.40.10","2018-03-19","eni-3387459c","10.80.8.218",22,47270,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","RU","Saint Petersburg","59.8944015503,30.2642002106","3","Malicious Host"
"19","58.218.213.146","2018-03-19","eni-f28fe32d","10.83.7.191",22,9090,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","CN","Nanjing","32.0616989136,118.777801514","3","Malicious Host"
"20","60.191.38.77","2018-03-19","eni-9815cf73","10.80.1.227",443,47172,6,"2018-02-24","ACCEPT",4,3,"Malicious Host","CN","Hangzhou","30.2936000824,120.161399841","3","Malicious Host"
"21","60.191.38.77","2018-03-19","eni-9815cf73","10.80.1.227",443,34302,6,"2018-02-24","ACCEPT",4,3,"Malicious Host","CN","Hangzhou","30.2936000824,120.161399841","3","Malicious Host"
"22","77.72.82.11","2018-03-19","eni-6aa7c76b","10.80.1.159",80,45560,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","GB","Stoke-on-trent","53.0,-2.18330001831","3","Malicious Host"
